Order,Map_Name,Location,Country,Recommended_Nights,Route_Theme,Approx_Miles_From_Previous,Drive_Class,Autumn_Priority,Flex_Nights,Autumn_Target_Window,Why_This_Stop,Google_Directions_URL
1,Amsterdam,"Amsterdam, Netherlands",Netherlands,2,低地国家开场,—,Base,★★★,0,9月上旬,运河与荷兰黄金时代，适合作为落地缓冲。,
2,Giethoorn,"Giethoorn, Netherlands",Netherlands,1,水乡过渡,75,Easy,★★★★,0,9月上旬,把第一段驾驶变成水乡体验。,https://www.google.com/maps/dir/?api=1&origin=Amsterdam%2C%20Netherlands&destination=Giethoorn%2C%20Netherlands&travelmode=driving
3,Hamburg,"Hamburg, Germany",Germany,2,汉萨港口,205,Normal,★★★,0,9月上旬,仓库城与港口工程。,https://www.google.com/maps/dir/?api=1&origin=Giethoorn%2C%20Netherlands&destination=Hamburg%2C%20Germany&travelmode=driving
4,Lübeck,"Lübeck, Germany",Germany,1,汉萨古城,45,Easy,★★★,0,9月上旬,红砖哥特式和波罗的海贸易史。,https://www.google.com/maps/dir/?api=1&origin=Hamburg%2C%20Germany&destination=L%C3%BCbeck%2C%20Germany&travelmode=driving
5,Copenhagen,"Copenhagen, Denmark",Denmark,2,北欧首都,175,Normal,★★★,0,9月上旬-中旬,王室、港口、设计文化。,https://www.google.com/maps/dir/?api=1&origin=L%C3%BCbeck%2C%20Germany&destination=Copenhagen%2C%20Denmark&travelmode=driving
6,Gothenburg,"Gothenburg, Sweden",Sweden,1,瑞典西海岸,195,Normal,★★★,0,9月中旬,Haga + World of Volvo。,https://www.google.com/maps/dir/?api=1&origin=Copenhagen%2C%20Denmark&destination=Gothenburg%2C%20Sweden&travelmode=driving
7,Oslo,"Oslo, Norway",Norway,2,挪威入口,180,Normal,★★★★,1,9月中旬,艺术与城市峡湾，为山路做缓冲。,https://www.google.com/maps/dir/?api=1&origin=Gothenburg%2C%20Sweden&destination=Oslo%2C%20Norway&travelmode=driving
8,Flåm / Aurland,"Flåm, Norway",Norway,3,峡湾核心,210,Full but acceptable,★★★★★,2,9月中下旬,铁路、峡湾、Stegastein；天气不好就多住。,https://www.google.com/maps/dir/?api=1&origin=Oslo%2C%20Norway&destination=Fl%C3%A5m%2C%20Norway&travelmode=driving
9,Geiranger,"Geiranger, Norway",Norway,3,峡湾高潮,185,Scenic,★★★★★,2,9月下旬,Geirangerfjord + 高山观景；秋景最高优先。,https://www.google.com/maps/dir/?api=1&origin=Fl%C3%A5m%2C%20Norway&destination=Geiranger%2C%20Norway&travelmode=driving
10,Lillehammer,"Lillehammer, Norway",Norway,1,山地转森林,195,Normal,★★★★,0,9月下旬,拆开去瑞典的长途，顺看湖林秋色。,https://www.google.com/maps/dir/?api=1&origin=Geiranger%2C%20Norway&destination=Lillehammer%2C%20Norway&travelmode=driving
11,Karlstad,"Karlstad, Sweden",Sweden,1,瑞典湖区,175,Normal,★★★★,0,9月下旬,Vänern 湖区慢下来。,https://www.google.com/maps/dir/?api=1&origin=Lillehammer%2C%20Norway&destination=Karlstad%2C%20Sweden&travelmode=driving
12,Stockholm,"Stockholm, Sweden",Sweden,2,波罗的海首都,190,Normal,★★★★,1,9月下旬,Vasa + Gamla Stan，Djurgården 秋色。,https://www.google.com/maps/dir/?api=1&origin=Karlstad%2C%20Sweden&destination=Stockholm%2C%20Sweden&travelmode=driving
13,Jönköping,"Jönköping, Sweden",Sweden,1,Vättern 湖,200,Normal,★★★★,0,9月下旬,湖边落脚，保护驾驶舒适度。,https://www.google.com/maps/dir/?api=1&origin=Stockholm%2C%20Sweden&destination=J%C3%B6nk%C3%B6ping%2C%20Sweden&travelmode=driving
14,Helsingborg,"Helsingborg, Sweden",Sweden,1,Øresund 海峡,140,Easy,★★★,0,9月下旬,海岸短休整。,https://www.google.com/maps/dir/?api=1&origin=J%C3%B6nk%C3%B6ping%2C%20Sweden&destination=Helsingborg%2C%20Sweden&travelmode=driving
15,Odense,"Odense, Denmark",Denmark,1,安徒生童话,130,Easy,★★★,0,9月下旬,文学主题过渡。,https://www.google.com/maps/dir/?api=1&origin=Helsingborg%2C%20Sweden&destination=Odense%2C%20Denmark&travelmode=driving
16,Schwerin,"Schwerin, Germany",Germany,1,湖泊与城堡,190,Normal,★★★★,0,9月底-10月初,秋色湖面+宫殿，进入柏林前休息。,https://www.google.com/maps/dir/?api=1&origin=Odense%2C%20Denmark&destination=Schwerin%2C%20Germany&travelmode=driving
17,Berlin,"Berlin, Germany",Germany,2,20世纪欧洲,135,Easy,★★★,0,10月初,帝国、纳粹、冷战、统一四层历史。,https://www.google.com/maps/dir/?api=1&origin=Schwerin%2C%20Germany&destination=Berlin%2C%20Germany&travelmode=driving
18,Poznań,"Poznań, Poland",Poland,1,波兰过渡,170,Normal,★★★,0,10月初,拆开 Berlin-Warsaw。,https://www.google.com/maps/dir/?api=1&origin=Berlin%2C%20Germany&destination=Pozna%C5%84%2C%20Poland&travelmode=driving
19,Warsaw,"Warsaw, Poland",Poland,2,毁灭与重生,195,Normal,★★★,0,10月初,重建老城与国家记忆。,https://www.google.com/maps/dir/?api=1&origin=Pozna%C5%84%2C%20Poland&destination=Warsaw%2C%20Poland&travelmode=driving
20,Kraków,"Kraków, Poland",Poland,3,波兰古都,180,Normal,★★★★,0,10月初,中世纪城市、Wawel、盐矿。,https://www.google.com/maps/dir/?api=1&origin=Warsaw%2C%20Poland&destination=Krak%C3%B3w%2C%20Poland&travelmode=driving
