Stop_Order,Base,Map_Name,Location,Priority,Recommended_Time,Best_Time,How_To_Experience_CN,What_To_Look_For_CN,Story_Theme_CN,Autumn_Focus_CN,Practical_Tip_CN,Source_URL,Google_Maps_Search_URL
1,Amsterdam,Dam Square,"Dam Square, Amsterdam, Netherlands",Must,30–45分钟,清晨,先把它当作城市坐标原点，再步行进入运河带，不要只站广场拍照。,Royal Palace、Nieuwe Kerk、通往运河区的街轴。,Amsterdam 的名字和城市成长都与 Amstel 河上的堤坝有关；这里是从水利节点变成商业城市中心的起点。,秋色不是主角，低角度晨光更重要。,市中心不建议开车进去。,https://www.iamsterdam.com/,https://www.google.com/maps/search/?api=1&query=Dam%20Square%2C%20Amsterdam%2C%20Netherlands
1,Amsterdam,Van Gogh Museum,"Van Gogh Museum, Amsterdam, Netherlands",Must,2–3小时,第一时段,按时间线看：荷兰暗色期→巴黎→Arles→Saint-Rémy→Auvers。,重点看颜色和笔触怎么变化，而不是只找名画。,这是一个人如何一步步学会用颜色表达情绪的故事。,下雨天的最佳室内项目。,提前订时段。,https://www.vangoghmuseum.nl/en,https://www.google.com/maps/search/?api=1&query=Van%20Gogh%20Museum%2C%20Amsterdam%2C%20Netherlands
1,Amsterdam,Canal Cruise,"Prinsengracht, Amsterdam, Netherlands",Must,1–1.5小时,黄昏/夜间,刚到 Amsterdam 就坐一次完整运河环线，后面步行时会立刻理解城市结构。,窄商人屋、桥洞对景、houseboat、运河环带。,运河不是装饰，是17世纪城市扩张、排水、运输和财富系统。,秋天低太阳和水面反光很漂亮。,小船通常比大巴式游船更有感觉。,https://www.iamsterdam.com/,https://www.google.com/maps/search/?api=1&query=Prinsengracht%2C%20Amsterdam%2C%20Netherlands
1,Amsterdam,Zaanse Schans,"Zaanse Schans, Zaandam, Netherlands",Optional+,2–3小时,清晨,至少进一座真正工作的风车，看机械，而不是只拍外观。,风车内部传动、木屋、Zaan 河两岸工业景观。,这里代表的是早期风力工业：锯木、榨油、加工，不只是“荷兰风车村”。,雾气+黄叶会加分。,尽量避开旅游巴士高峰。,https://www.dezaanseschans.nl/en/,https://www.google.com/maps/search/?api=1&query=Zaanse%20Schans%2C%20Zaandam%2C%20Netherlands
2,Giethoorn,Giethoorn Canal Village,"Giethoorn, Netherlands",Must,半天,上午,坐电动小船/游船后再走木桥和茅草屋小径。,水道、桥、湿地村落空间。,这里过去水路比道路重要，村落形态是由泥炭湿地塑造出来的。,芦苇与柔和秋光比“打卡桥”更值得看。,不要只停45分钟。,https://giethoorn.com/en/,https://www.google.com/maps/search/?api=1&query=Giethoorn%2C%20Netherlands
3,Hamburg,Miniatur Wunderland,"Miniatur Wunderland, Hamburg, Germany",Must,3–4小时,上午,看完整昼夜循环和机场/铁路系统，别一路走马看花。,铁路调度、机场运动、微缩人物小故事。,最好把它理解成“基础设施+机械+叙事”的工程剧场。,坏天气首选。,预约入场。,https://www.miniatur-wunderland.com/,https://www.google.com/maps/search/?api=1&query=Miniatur%20Wunderland%2C%20Hamburg%2C%20Germany
3,Hamburg,Speicherstadt,"Speicherstadt, Hamburg, Germany",Must,1.5–2小时,傍晚,沿仓库水道和桥走，再接 HafenCity。,红砖仓库、窄水道、装卸尺度。,这是咖啡、茶、香料、地毯等全球贸易如何进入欧洲港口城市的实体痕迹。,红砖+低秋光非常好看。,步行为主。,https://www.hamburg.com/,https://www.google.com/maps/search/?api=1&query=Speicherstadt%2C%20Hamburg%2C%20Germany
3,Hamburg,Elbphilharmonie Plaza,"Elbphilharmonie Plaza, Hamburg, Germany",Optional+,45–75分钟,日落,坐长扶梯上 Plaza，绕建筑一圈看港口。,旧仓库底座与玻璃音乐厅的反差。,它把旧港口经济遗产直接叠成现代文化地标。,看日落，不必追秋叶。,确认当天 Plaza 开放。,https://www.elbphilharmonie.de/en/,https://www.google.com/maps/search/?api=1&query=Elbphilharmonie%20Plaza%2C%20Hamburg%2C%20Germany
4,Lübeck,Holstentor & Old Town,"Holstentor, Lübeck, Germany",Must,2–3小时,上午,从 Holstentor 进岛状老城，沿红砖教堂天际线走。,双塔、Brick Gothic、商人街区。,Lübeck 是 Hanseatic League 的核心之一，建筑本身就是中世纪波罗的海贸易地图。,水边树木有秋色。,住古城附近，步行。,https://www.luebeck-tourismus.de/en,https://www.google.com/maps/search/?api=1&query=Holstentor%2C%20L%C3%BCbeck%2C%20Germany
5,Copenhagen,Nyhavn,"Nyhavn, Copenhagen, Denmark",Must,1小时,清晨/蓝调时刻,两岸都走，再顺路去 Amalienborg。,彩色立面、历史船只、港口透视。,今天很欢乐，但它原本是17世纪商业港，曾经是真正的水手世界。,阴天也很出片。,清晨明显舒服。,https://www.visitcopenhagen.com/,https://www.google.com/maps/search/?api=1&query=Nyhavn%2C%20Copenhagen%2C%20Denmark
5,Copenhagen,The Little Mermaid,"The Little Mermaid, Copenhagen, Denmark",Optional,20–30分钟,清晨,把它当文学符号，不当大型景点。,雕像与港口背景、尺寸感。,价值来自 H.C. Andersen 的《海的女儿》和城市身份，而不是雕像本身多宏伟。,安静水面比秋叶重要。,顺带 Kastellet。,https://www.visitcopenhagen.com/,https://www.google.com/maps/search/?api=1&query=The%20Little%20Mermaid%2C%20Copenhagen%2C%20Denmark
5,Copenhagen,Amalienborg Palace,"Amalienborg, Copenhagen, Denmark",Must,1–1.5小时,上午,站广场中央看四座宫殿形成完整构图，再看通向 Frederik's Church 的轴线。,对称广场、骑马像、王室城市尺度。,不是“一个巨大皇宫”，而是用城市规划表达丹麦王室。,淡色建筑在秋光下很漂亮。,和 Nyhavn 步行连起来。,https://www.kongernessamling.dk/en/amalienborg/,https://www.google.com/maps/search/?api=1&query=Amalienborg%2C%20Copenhagen%2C%20Denmark
5,Copenhagen,Tivoli Gardens,"Tivoli Gardens, Copenhagen, Denmark",Optional+,2–4小时,晚上,重点看夜景、园林与娱乐如何混合，不一定要疯狂玩 rides。,老式灯光、花园、历史游乐设施。,1843年开园，是现代城市娱乐花园的重要祖先。,如遇秋季/Halloween 季更有气氛。,先查季节开放日。,https://www.tivoli.dk/en/,https://www.google.com/maps/search/?api=1&query=Tivoli%20Gardens%2C%20Copenhagen%2C%20Denmark
6,Gothenburg,Haga,"Haga, Gothenburg, Sweden",Must,1–1.5小时,上午,慢走 Haga Nygata，安排 fika；天气好再上 Skansen Kronan。,木屋街区、咖啡馆、人行尺度。,从工人区变成城市最有人情尺度的历史街区之一。,街树秋色加分。,步行为主。,https://www.goteborg.com/en,https://www.google.com/maps/search/?api=1&query=Haga%2C%20Gothenburg%2C%20Sweden
6,Gothenburg,World of Volvo,"World of Volvo, Gothenburg, Sweden",Must,2–3小时,下午,不要只看老车，重点看安全、工程、北欧设计和未来出行。,历史车辆、互动展、木结构建筑。,旧 Volvo Museum 2023 年关闭；现在应看 World of Volvo，它把品牌历史扩展成设计与技术故事。,雨天很好。,不要去旧馆地址。,https://www.worldofvolvo.com/en/,https://www.google.com/maps/search/?api=1&query=World%20of%20Volvo%2C%20Gothenburg%2C%20Sweden
